Sample_ID	Sex	Run_center	Subsite	Site	Description
700014445	male	BCM,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700014445_from_subject_158398106__sex_male_
700014527	male	BCM,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700014527_from_subject_158418336__sex_male_
700014767	female	BCM,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700014767_from_subject_158458797__sex_female_
700014797	male	JCVI,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700014797_from_subject_158479027__sex_male_
700014923	male	JCVI,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700014923_from_subject_158499257__sex_male_
700015007	male	JCVI,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015007_from_subject_158822939__sex_male_
700015082	male	JCVI,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015082_from_subject_158721788__sex_male_
700015167	female	BCM,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015167_from_subject_158883629__sex_female_
700015233	female	BCM,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015233_from_subject_158742018__sex_female_
700015299	male	JCVI,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015299_from_subject_158802708__sex_male_
700015454	female	JCVI,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015454_from_subject_159025240__sex_female_
700015675	male	JCVI,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015675_from_subject_158924089__sex_male_
700015756	female	JCVI,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700015756_from_subject_158984779__sex_female_
700016050	male	BCM,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016050_from_subject_158964549__sex_male_
700016138	male	BCM,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016138_from_subject_159146620__sex_male_
700016140	female	JCVI,BI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016140_from_subject_158944319__sex_female_
700016313	female	JCVI,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016313_from_subject_159085930__sex_female_
700016354	female	JCVI,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016354_from_subject_159005010__sex_female_
700016662	male	BCM,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016662_from_subject_159166850__sex_male_
700016920	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700016920_from_subject_159389382__sex_male_
700021682	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700021682_from_subject_763536994__sex_male_
700023074	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023074_from_subject_763698834__sex_female_
700023174	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023174_from_subject_763638144__sex_female_
700023242	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023242_from_subject_763840445__sex_female_
700023452	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023452_from_subject_763921366__sex_female_
700023556	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023556_from_subject_763860675__sex_male_
700023639	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023639_from_subject_764062976__sex_female_
700023877	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023877_from_subject_764143897__sex_female_
700023924	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023924_from_subject_763982056__sex_male_
700023972	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700023972_from_subject_764184357__sex_female_
700024085	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024085_from_subject_764083206__sex_male_
700024239	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024239_from_subject_764346198__sex_female_
700024295	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024295_from_subject_764487809__sex_male_
700024407	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024407_from_subject_764224817__sex_male_
700024448	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024448_from_subject_763435843__sex_male_
700024497	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024497_from_subject_764002286__sex_male_
700024544	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024544_from_subject_764305738__sex_male_
700024592	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024592_from_subject_764325968__sex_male_
700024651	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024651_from_subject_764447348__sex_male_
700024688	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024688_from_subject_764508039__sex_male_
700024804	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024804_from_subject_764366428__sex_female_
700024851	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024851_from_subject_764649650__sex_female_
700024907	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024907_from_subject_764669880__sex_male_
700024955	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700024955_from_subject_765074482__sex_male_
700033033	female	JCVI,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700033033_from_subject_159247771__sex_female_
700033148	female	BCM,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700033148_from_subject_159733294__sex_female_
700033490	female	BCM,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700033490_from_subject_159470302__sex_female_
700033744	female	BCM,WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700033744_from_subject_159713063__sex_female_
700037031	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037031_from_subject_765094712__sex_male_
700037089	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037089_from_subject_765155402__sex_male_
700037138	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037138_from_subject_765013792__sex_female_
700037190	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037190_from_subject_765195863__sex_female_
700037356	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037356_from_subject_765216093__sex_male_
700037404	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037404_from_subject_765276783__sex_male_
700037538	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037538_from_subject_764083206__sex_male_
700037686	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037686_from_subject_765034022__sex_female_
700037810	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700037810_from_subject_765337473__sex_female_
700038010	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700038010_from_subject_763597684__sex_male_
700038343	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700038343_from_subject_764892411__sex_male_
700038498	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700038498_from_subject_763476303__sex_male_
700038593	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700038593_from_subject_404239096__sex_male_
700038955	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700038955_from_subject_370027359__sex_male_
700095371	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700095371_from_subject_158398106__sex_male_
700095428	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700095428_from_subject_158418336__sex_male_
700095974	male	JCVI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700095974_from_subject_160906640__sex_male_
700096065	male	JCVI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700096065_from_subject_160947100__sex_male_
700096284	male	JCVI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700096284_from_subject_160886410__sex_male_
700096586	female	JCVI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700096586_from_subject_160866180__sex_female_
700097252	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700097252_from_subject_158216035__sex_male_
700097649	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700097649_from_subject_158155345__sex_male_
700098285	female	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700098285_from_subject_158742018__sex_female_
700098377	female	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700098377_from_subject_158458797__sex_female_
700098950	female	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700098950_from_subject_158236265__sex_female_
700099020	female	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700099020_from_subject_158114885__sex_female_
700099077	female	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700099077_from_subject_158276726__sex_female_
700099460	female	JCVI	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700099460_from_subject_206906765__sex_female_
700099608	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700099608_from_subject_158438567__sex_male_
700100245	female	BI,BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700100245_from_subject_158883629__sex_female_
700101656	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700101656_from_subject_159389382__sex_male_
700102103	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700102103_from_subject_158964549__sex_male_
700102260	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700102260_from_subject_159166850__sex_male_
700102603	female	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700102603_from_subject_159227541__sex_female_
700102923	male	BCM	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700102923_from_subject_159146620__sex_male_
700103275	female	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700103275_from_subject_682449369__sex_female_
700103445	male	WUGC	Anterior_nares	Nasal	HMP_Human_metagenome_sample_700103445_from_subject_763860675__sex_male_
